,degree,id,C,cc,in_degree,out_degree
153,1103,15450660,0.041248665165,0.421731925026,1077,101
85,1099,748864401852145665,0.055737041954,0.433642115131,1092,32
95,1099,49311606,0.0535840663229,0.452416109915,814,995
272,1098,289118612,0.118319045318,0.515630630487,975,559
253,1097,15954704,0.0278280512879,0.437523158585,1095,12
263,1094,3150940290,0.0157408537962,0.37506963139,1094,4
230,1091,312696314,0.0194670321816,0.397702652509,1076,48
82,1091,78012548,0.00917094829254,0.369591086212,1091,5
180,1090,784280066,0.0456508369769,0.433745558922,715,1062
111,1085,520653311,0.0206438009081,0.480159890843,1082,3
286,1082,19906029,0.0719844191642,0.38687839712,980,809
179,1080,52755452,0.0431417979611,0.482944350591,1043,117
187,1075,211620426,0.0432029795158,0.387249176373,940,386
167,1074,270068926,0.106568714737,0.451838375376,1068,530
231,1073,15830958,0.0502653322391,0.405593177225,962,874
185,1071,100731315,0.0106233147465,0.391660846521,1071,3
254,1071,48854106,0.128717156645,0.451542273906,868,1038
89,1068,13396002,0.0312332171477,0.412535700964,917,925
58,1068,14792049,0.0484206129405,0.407033275374,1054,145
172,1068,223539098,0.0619837901779,0.422586829347,965,273
210,1066,6134882,0.0300258083838,0.448556353887,1023,64
183,1064,63013144,0.0717504014033,0.429102357169,1063,273
67,1062,74991835,0.0677895103046,0.459475634228,591,598
205,1060,20982910,0.0365385643273,0.40566355736,1003,125
43,1059,14561327,0.00793094030642,0.456215647222,1058,3
113,1057,14060262,0.0319228233136,0.419408080059,1046,27
60,1056,1056850669,0.0248527933362,0.436962392469,1056,1
161,1055,17490707,0.132965817423,0.487944758363,977,1013
249,1050,66643970,0.0119769394889,0.417104388945,1048,9
38,1049,2173054549,0.136504049658,0.440215454882,946,779
50,1047,109854452,0.166554354516,0.430927230756,803,1019
29,1047,7480172,0.0531336916365,0.414849527715,521,906
34,1045,227682918,0.0148948651671,0.377281137055,1044,11
104,1043,2286189025,0.0517166817261,0.462328209961,968,1006
251,1039,3240325433,0.0307969905849,0.447015565231,836,966
158,1032,23121787,0.0303442131144,0.427675342875,386,980
13,1027,25562270,0.0324569944823,0.350582323026,994,47
305,1027,204864531,0.0740930547726,0.442363369775,825,817
275,1024,700784500658208768,0.0344918438416,0.44862706143,929,164
160,1023,940368062,0.0829110497692,0.382570980176,982,737
8,1020,44959505,0.150345398218,0.370498977105,761,1002
19,1018,19038210,0.142939382173,0.436895313758,649,942
288,1018,56999787,0.0459303819354,0.423426032907,1005,81
116,1007,824157,0.0407426345601,0.434932939623,979,151
